iter	Passed	Remaining
759	3144	993
760	3148	988
761	3152	984
762	3156	980
763	3160	976
764	3163	971
765	3167	967
766	3171	963
767	3174	959
768	3178	954
769	3181	950
770	3185	946
771	3191	942
772	3195	938
773	3199	934
774	3202	929
775	3206	925
776	3210	921
777	3213	917
778	3218	912
779	3221	908
780	3225	904
781	3229	900
782	3232	895
783	3235	891
784	3239	887
785	3243	883
786	3246	878
787	3250	874
788	3256	870
789	3260	866
790	3264	862
791	3268	858
792	3271	854
793	3275	849
794	3278	845
795	3282	841
796	3285	836
797	3289	832
798	3294	828
799	3297	824
800	3303	820
801	3307	816
802	3311	812
803	3315	808
804	3319	804
805	3323	799
806	3327	795
807	3331	791
808	3336	787
809	3340	783
810	3344	779
811	3349	775
812	3353	771
813	3356	767
814	3360	762
815	3365	758
816	3371	755
817	3374	750
818	3378	746
819	3382	742
820	3385	738
821	3389	733
822	3392	729
823	3396	725
824	3400	721
825	3403	716
826	3407	712
827	3410	708
828	3414	704
829	3419	700
830	3422	696
831	3426	691
832	3432	688
833	3437	684
834	3441	680
835	3445	675
836	3449	671
837	3454	667
838	3458	663
839	3462	659
840	3466	655
841	3469	651
842	3473	646
843	3477	642
844	3480	638
845	3484	634
846	3488	630
847	3491	625
848	3497	622
849	3501	617
850	3505	613
851	3508	609
852	3512	605
853	3516	601
854	3520	596
855	3523	592
856	3526	588
857	3530	584
858	3533	580
859	3537	575
860	3541	571
861	3546	567
862	3551	563
863	3555	559
864	3559	555
865	3563	551
866	3568	547
867	3573	543
868	3578	539
869	3581	535
870	3585	531
871	3589	526
872	3592	522
873	3596	518
874	3599	514
875	3602	510
876	3606	505
877	3612	501
878	3615	497
879	3619	493
880	3623	489
881	3627	485
882	3630	481
883	3634	476
884	3638	472
885	3641	468
886	3645	464
887	3649	460
888	3653	456
889	3657	452
890	3660	447
891	3664	443
892	3667	439
893	3671	435
894	3676	431
895	3680	427
896	3684	423
897	3688	418
898	3691	414
899	3695	410
900	3698	406
901	3702	402
902	3706	398
903	3710	393
904	3713	389
905	3717	385
906	3720	381
907	3724	377
908	3728	373
909	3731	369
910	3735	364
911	3741	361
912	3745	356
913	3749	352
914	3753	348
915	3757	344
916	3761	340
917	3765	336
918	3769	332
919	3773	328
920	3776	323
921	3780	319
922	3784	315
923	3789	311
924	3793	307
925	3797	303
926	3801	299
927	3805	295
928	3808	291
929	3812	286
930	3815	282
931	3819	278
932	3822	274
933	3826	270
934	3830	266
935	3833	262
936	3837	258
937	3841	253
938	3844	249
939	3848	245
940	3853	241
941	3857	237
942	3861	233
943	3865	229
944	3870	225
945	3874	221
946	3878	217
947	3882	212
948	3885	208
949	3889	204
950	3892	200
951	3896	196
952	3899	192
953	3903	188
954	3907	184
955	3910	179
956	3915	175
957	3920	171
958	3924	167
959	3927	163
960	3931	159
961	3935	155
962	3939	151
963	3942	147
964	3946	143
965	3950	139
966	3953	134
967	3957	130
968	3961	126
969	3965	122
970	3969	118
971	3973	114
972	3977	110
973	3983	106
974	3987	102
975	3991	98
976	3996	94
977	4000	89
978	4003	85
979	4007	81
980	4011	77
981	4015	73
982	4018	69
983	4022	65
984	4026	61
985	4031	57
986	4035	53
987	4039	49
988	4043	44
989	4047	40
990	4050	36
991	4054	32
992	4058	28
993	4062	24
994	4065	20
995	4069	16
996	4073	12
997	4077	8
998	4081	4
999	4085	0
